sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
67,7.45148569999947,"2026-04-01T01:48:56.9737728Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02147926,1.135677,-0.6832486,0.2249437,0.005043979,0.01837986,0.9741853,0,,,,,,
68,7.46151929999996,"2026-04-01T01:48:56.9839015Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02138729,1.135764,-0.6833516,0.2247732,0.00499008,0.01822091,0.974228,0,,,,,,
69,7.47266789999958,"2026-04-01T01:48:56.9965954Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02115627,1.135791,-0.6835541,0.2245579,0.004945735,0.01803843,0.9742813,0,,,,,,
70,7.48396559999946,"2026-04-01T01:48:57.0072252Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02109983,1.135809,-0.68369,0.2244998,0.00493212,0.01808569,0.9742938,0,,,,,,
71,7.49496499999987,"2026-04-01T01:48:57.0173288Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02091714,1.135848,-0.6838826,0.2244102,0.004794243,0.01799228,0.9743168,0,,,,,,
72,7.50548780000008,"2026-04-01T01:48:57.0283976Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02081047,1.13599,-0.6840116,0.2241064,0.00472401,0.01809802,0.9743852,0,,,,,,
73,7.51640479999969,"2026-04-01T01:48:57.0395620Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02069109,1.136075,-0.6841882,0.223924,0.004479258,0.01821449,0.9744261,0,,,,,,
74,7.52834379999967,"2026-04-01T01:48:57.0511753Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02056815,1.136182,-0.6844245,0.2234452,0.00430446,0.01829161,0.9745353,0,,,,,,
75,7.53954410000006,"2026-04-01T01:48:57.0623389Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02046842,1.136399,-0.6846178,0.2229485,0.004085621,0.0183958,0.9746481,0,,,,,,
76,7.55121460000009,"2026-04-01T01:48:57.0740958Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02039431,1.13655,-0.6848494,0.2225409,0.003816771,0.01852741,0.9747398,0,,,,,,
